Code,Term,drugsubstancename,Observations,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,2001_census_16_grouping,2001_census_6_grouping,medicine,Source
328141000033117,Colestipol Hydrochloride  Sugar free granules  5 grams/sachet,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
565741000033115,Fenofibrate  Capsules  100 mg,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
359541000033118,Colestipol Hydrochloride  Sachets (orange)  5 grams/sachet,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2994541000033117,"Nicotinic Acid Titration Starter Pack  M/R tablets  7 x 375 mg, 7 x 500 mg, 7 x 750 mg",,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
974641000033112,Nicotinic Acid  Tablets  100 mg,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
974741000033115,Nicotinic Acid  Tablets  25 mg,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2667441000033112,*Nicotinic Acid  Tablets  ,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2667841000033110,*Nicotinic Acid  Pills (Sucrose)  ,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2841000033117,Acipimox 250mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1003341000033117,Olbetam 250mg capsules (Pfizer Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10647041000033115,Alirocumab 75mg/1ml solution for injection pre-filled disposable devices,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10647141000033116,Alirocumab 150mg/1ml solution for injection pre-filled disposable devices,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10647241000033111,Praluent 75mg/1ml solution for injection pre-filled pens (Sanofi),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10647341000033118,Praluent 150mg/1ml solution for injection pre-filled pens (Sanofi),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
